Airlines,Flight Date,COVID Phase,Departure delay (Minutes),Delay Carrier (Minutes)_Dep,Delay Weather (Minutes)_Dep,Delay National Aviation System (Minutes)_Dep,Delay Security (Minutes)_Dep,Delay Late Aircraft Arrival (Minutes)_Dep,Total Flights_Dep,Cancelled Flights,Cancellation Rate (%),Arrival Delay (Minutes),Delay Carrier (Minutes)_Arr,Delay Weather (Minutes)_Arr,Delay National Aviation System (Minutes)_Arr,Delay Security (Minutes)_Arr,Delay Late Aircraft Arrival (Minutes)_Arr,Total Flights_Arr
Alaska Airlines,2018-03-24,Pre-COVID,-2.0,0,0,0,0,0,1,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-03-25,Pre-COVID,0.0,0,0,0,0,0,1,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-03-26,Pre-COVID,-11.0,0,0,0,0,0,1,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-03-27,Pre-COVID,-9.0,0,0,0,0,0,1,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-03-28,Pre-COVID,-13.0,0,0,0,0,0,1,0.0,0.0,-18.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-03-29,Pre-COVID,-10.0,0,0,0,0,0,1,0.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-03-30,Pre-COVID,-4.0,0,0,15,0,0,1,0.0,0.0,-33.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-03-31,Pre-COVID,-14.0,0,0,0,0,0,1,0.0,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-04-01,Pre-COVID,-7.0,0,0,0,0,0,2,0.0,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-04-02,Pre-COVID,-1.5,0,0,0,0,0,2,0.0,0.0,-22.5,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-04-03,Pre-COVID,-9.5,0,0,0,0,0,2,0.0,0.0,-21.5,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-04-04,Pre-COVID,-9.5,0,0,22,0,0,2,0.0,0.0,-18.5,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-04-05,Pre-COVID,-6.0,0,0,0,0,0,2,0.0,0.0,-25.5,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-04-06,Pre-COVID,85.5,0,0,205,0,0,2,0.0,0.0,19.0,0.0,0.0,5.0,0.0,67.0,2.0
Alaska Airlines,2018-04-07,Pre-COVID,-10.5,0,0,0,0,0,2,0.0,0.0,-12.0,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-04-08,Pre-COVID,1.5,0,0,0,0,0,2,0.0,0.0,-22.0,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-04-09,Pre-COVID,-5.0,0,0,0,0,0,2,0.0,0.0,-26.5,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-04-10,Pre-COVID,-6.0,0,0,0,0,0,2,0.0,0.0,-24.5,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-04-11,Pre-COVID,52.0,100,0,0,0,0,2,0.0,0.0,-33.0,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-04-12,Pre-COVID,-8.0,0,0,0,0,0,2,0.0,0.0,-21.0,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-04-13,Pre-COVID,-11.0,0,0,0,0,0,2,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-04-14,Pre-COVID,-10.0,0,0,0,0,0,2,0.0,0.0,-14.5,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-04-15,Pre-COVID,58.0,0,0,120,0,34,2,0.0,0.0,15.0,53.0,0.0,0.0,0.0,0.0,2.0
