Origin City,Airlines,COVID Phase,Avg Arrival Delay (min),Total Flights
"Seattle, WA",Alaska Airlines,Pre-COVID,0.5241248817407758,1057
"Seattle, WA",Delta Airlines,During-COVID,-0.5627450980392157,510
"Seattle, WA",Delta Airlines,Post-COVID,-0.27389705882352944,1088
"Seattle, WA",Delta Airlines,Pre-COVID,1.5219364599092284,661
"Seattle, WA",Southwest Airlines,During-COVID,0.25,124
"Seattle, WA",Southwest Airlines,Post-COVID,18.03846153846154,26
"Seattle, WA",Southwest Airlines,Pre-COVID,7.2377622377622375,143
"St Louis, MO",Southwest Airlines,During-COVID,-4.117315573770492,1952
"St Louis, MO",Southwest Airlines,Post-COVID,1.3196185286103541,3670
"St Louis, MO",Southwest Airlines,Pre-COVID,4.535197204193709,2003
"Tampa, FL",Frontier Airlines,Pre-COVID,7.7,20
"Tampa, FL",Southwest Airlines,During-COVID,0.03371783496007098,2254
"Tampa, FL",Southwest Airlines,Post-COVID,6.902348035988589,4557
"Tampa, FL",Southwest Airlines,Pre-COVID,2.49292371418709,2897
"Tampa, FL",Spirit Airlines,During-COVID,-1.803030303030303,132
"Tampa, FL",Spirit Airlines,Post-COVID,4.157894736842105,19
"Tampa, FL",Spirit Airlines,Pre-COVID,-9.263157894736842,57
"Trenton, NJ",Frontier Airlines,Pre-COVID,30.724770642201836,218
"Valparaiso, FL",Southwest Airlines,During-COVID,5.262295081967213,671
"Valparaiso, FL",Southwest Airlines,Post-COVID,-5.51521137890162,2531
"Washington, DC",American Airlines,During-COVID,-3.225806451612903,62
"Washington, DC",American Airlines,Post-COVID,8.669971671388103,706
"Washington, DC",American Airlines,Pre-COVID,4.0265486725663715,113
"Washington, DC",Southwest Airlines,During-COVID,-8.212489158716393,2306
"Washington, DC",Southwest Airlines,Post-COVID,2.0286532951289398,4188
"Washington, DC",Southwest Airlines,Pre-COVID,0.4588607594936709,2528
"Washington, DC",United Airlines,During-COVID,-3.6535433070866143,127
"Washington, DC",United Airlines,Post-COVID,7.434765154556403,2491
"Washington, DC",United Airlines,Pre-COVID,9.439060205580029,681
"West Palm Beach, FL",Southwest Airlines,During-COVID,-1.0,32
